Record,Current name (from Valid Names),Galls,Name in record,Source,Description,Host associations mentioned,Photos,Page link,Taxonomic Info,Biology Note,Phenology,Range,Original Description?
96,Callirhytis infuscata,Callirhytis infuscata,Callirhytis infuscata,Field notes on gall-inhabiting cynipid wasps with descriptions of new species,,"Quercus laevis,Quercus marilandica,Quercus incana,Quercus laurifolia,Quercus myrtifolia",,https://www.biodiversitylibrary.org/page/7610635#page/362/mode/1up,"This species was described from Jacksonville. Fla.. from galls on Quercus catesbaei [laevis], the adults emerging in March. As the tarsal claws are simple the species is here transferred to Callirhytis. The writer has collected the galls on the above host at Green Cove Springs. Marianna, River Junction, Madison, Tallahassee, Carabelle, Gainesville, Ocala. St. Petersburg. and Clearwater. FL. Similar galls were seen at Marianna on Q. marilandica and Q. cinerea [incana] and on Q. laurifolia at Gainesville, Ocala, and Clearwater. Galls collected November 20, 1919, at Daytona on Q. laurifolia and sent to Washington and Evanston for rearing gave flies May 23, 26, June 3 and 15 1920. From galls collected at Savannah. Ga.. November 20, 1919, living flies were cut March 14. 1921, having pupated the previous November. Galls on Q myrtifolia collected at Daytona November 20, 1919 gave flies May 23, 1920, but some galls still contained larvae as late as September I. 1924, so that the emergence may be distributed over at least two seasons. The writer has been unable to separate these reared specimens from the types of infuscata. ",,November,"FL, GA",No
97,Callirhytis vaccinii,Callirhytis vaccinii,Callirhytis lustrans,Field notes on gall-inhabiting cynipid wasps with descriptions of new species,"These galls occur as midrib clusters on under side of leaves of Quercus stellata in the fall, dropping when mature. When fresh the individual galls are shaped like huckleberry flowers, somewhat cylindrical with the end distinctly truncate and depressed, but during the winter on the ground they become globular except for a short pedical, and the depressed end becomes a flattened circular scar at apex with a slightly raised rim, and the greenish or reddish color changes to brown.","Quercus stellata,Quercus breviloba",,https://www.biodiversitylibrary.org/page/7610635#page/363/mode/1up,"Lustrans was described from two adults captured at Austin, TX, gall and host unknown. One of these specimens was given in 1921 to the writer, who recognized its close relation to impositus. lustrans is described as without a median groove, but this specimen in certain positions shows a faint median line, while the groove in some of the many available partaypes of impositus is fully as faintly defined. The writer is unable to separate paratypes of verifactor from lustrans. The gall of this species was first described by Osten Sacken in 1862, but Ashmead was evidently in error in thinking he had reared it in 1887, associating the wingless fly he reared with the wrong gall. ",,"July, November, October","NY, MO, TX, OK",No
98,Callirhytis vaccinii,Callirhytis vaccinii,Andricus dimorphus verifactor,Studies of some new and described Cynipidae (Hymenoptera),"Clustered, seed-like leaf galls. Each gall monothalamous, elongate, rather cylindrical, urn-shape, broadest at the middle, less broad apically, flattened at the end, taper pointed basally, up to 4 mm in diameter by 6 mm in length; colored dark green when young, becoming a dark red or purplish red when old. Mostly solid and fleshy when young, becoming hard, thin -walled, and hollow when old, without a distinct larval cell lining. In compact clusters of up to 30 galls, attached to the midrib, on the under sides of leaves of Quercus stellata (and Q breviloba?)
This gall is very common on the post oaks in Texas. Patterson states that the punctures from which the galls will arise may be detected about the first of May, that the galls do not develop from the scars until about the middle of July, that the galls are fully grown in size by the first of October, and in a couple of weeks most of them fall to the ground. I have collected them in late November and December, but the larva are then still so small that they do not mature after becoming dry. Evidently they need to be kept moist, as they are when lying on the ground, to allow the insect to develop. Patterson secured over a hundred adults which emerged from February 12, 1922, to March 8. Inasmuch as the breeding of the insect is difficult unless carefully handled on the field, we are considerably indebted to Dr. Patterson for successfully rearing the adult. I collected the galls, but did not obtain the insects from the other Texas localities listed. It is possible but not prob-able that other varieties occur at some of those points. The gall occurs on Q. breviloba at Leander, and Patterson reports it as occasionally on breviloba at Austin. It is not unlikely that the breviloba insect is a distinct variety with a range centering about Burnett County, Texas. 
","Quercus stellata,Quercus breviloba",,https://www.biodiversitylibrary.org/page/45387508#page/77/mode/1up,"This is certainly a variety of Andricus dimorphus, described as a Cynips (Beutenmuller, 1913, Trans. Amer. Ent. Soc., XXXIX, p. 245) from galls taken by Weld at Evanston, Illinois, on Q. macromrpa. Similar galls have been recorded and are common on white oaks of many species from the whole of eastern United States. Unfortunately I cannot examine the types of dimorphus, and cannot furnish a comparative description. Probably several different varieties occur in several faunal areas, and possibly different varieties on different hosts. This variety appears to differ from dimorphus in having the thorax less roughly rugose, the parapsidal grooves and lateral lines smooth, and the first abscissa of the radius not infuscated. Probably an examination of the dimorphus type would modify this comparison and disclose other points of difference. 
Cynips vacciniiformis was described from Q. stellata galls which are undoubtedly those of verifactor, and from Austin. But the description of the single insect obtained is far from correct for the true producer of this gall, and apparently applies to a different species mistakenly supposed to have come from verifactor galls. Vaccinliformis was described in 1913. Of course insects bred from galls collected in 1917 and now labelled cotypes in at least a couple of collections, cannot have any standing as type material. [Kinsey seems to have been mistaken about the synonymy of his galls with Beutenmuller's Callirhytis vacciniiformis?]
",,,"TX, OK, LA",No
99,Andricus robustus,Andricus robustus,Cynips vacciniiformis,Descriptions of New Cynipidae,"In clusters on the midrib of post oak (Quercus minor [stellata]). Monothalamous and moderately thick-walled with a large round larval chamber. Globular and almost like a huckleberry or fruit of hackberry (Celtis occidentalis) with a more or less distinct nipple at the apex and long petiole or stem at the base by means of which it is attached to the leaf. Brown when old and probably green when fresh. The outer surface is slightly roughened or almost smooth. Diameter 4-7 mm; petiole 1-2.5 mm long. The gall somewhat resembles that of C dimorphus, but is larger and more globose. It occurs in clusters like dimorphus, but the galls as less closely together and not pressed out of shape, each individual gall retains its globose shape. The male is not known.",Quercus stellata,,https://www.biodiversitylibrary.org/item/27823#page/323/mode/1up,,,,TX,Yes
100,Andricus robustus,Andricus robustus,Cynips vacciniiformis,Key to American Insect Galls,"Globose, clustered, monothalamous, midrib gall with a more or less distinct nipple apically and a long stem basally, brown when old, probably green when fresh, diameter 4 to 7 mm, stem 1 to 2.5 mm, resembles a huckleberry, on post oak.",Quercus stellata,,https://www.biodiversitylibrary.org/page/8635512#page/84/mode/1up,,,,,No
101,Callirhytis vaccinii,Callirhytis vaccinii,Zopheroteras vaccinii,Descriptions of Five New Genera in the Family Cynipidae,,,,https://www.biodiversitylibrary.org/item/88720#page/287/mode/1up,"[Creates the genus Zopheroteras] 
To this genus belongs Acraspis vaccinii, Ashm.",,,,No
102,Callirhytis vaccinii,Callirhytis vaccinii,Callirhytis lustrans,Cynipid galls of the eastern United States,"On Quercus breviloba: Midrib cluster like Callirhytis lustrans
On Quercus stellata: Midrib cluster on under side in fall, each with a short stalk, end truncate and depressed.
Figure caption: There is a similar gall on Q margarettae and on Q chapmanii which has never been reared.","Quercus stellata,Quercus breviloba",203,https://archive.org/details/cynipidgallseas00weld/page/77/mode/1up?q=lustrans,"[Weld's photo is somewhat confusing, since it seems to resemble Andricus vacciniiformis more than Callirhytis vaccinii. However, the flat top with slight nipple does seem to suggest these are still C vaccinii, as other synonymies suggest; presumably these are just fallen galls that have swollen as mentioned in several descriptions.]",,Fall,,No
103,Callirhytis vaccinii,Callirhytis vaccinii,Zopheroteras vaccinii,Cynipid galls of the eastern United States,"On Quercus stellata: Galls shaped like those of C lustrans, in numbers in rows on either side of the midrib in the fall. Turn black in drying. Entered from literature.",Quercus stellata,203,https://archive.org/details/cynipidgallseas00weld/page/77/mode/1up?q=vaccinii,[It's not clear why Weld lists this as distinct from C lustrans in this book; he synonymized Acraspis vaccinii into C lustrans himself],,Fall,,No
104,Andricus robustus,Andricus robustus,Adleria vacciniiformis,Cynipid galls of the eastern United States,"On Quercus stellata: Midrib cluster of thick-walled, one-celled galls shaped like a huckleberry or hackberry fruit, with nipple at apex, stalk 1-2.5 mm long, gall 4-7 mm in dia. Entered from lit.",Quercus stellata,,https://archive.org/details/cynipidgallseas00weld/page/77/mode/1up?q=vacciniiformis,"[It's not clear why Weld lists this as a distinct species; his own description of Andricus robustus mentions that it ""is the gall described in connection with the fly of Cynips vacciniformis Beutenmuller."" He seems to have been trying to synonymize the gall without conferring connected legitimacy on the connection to Beutenmuller's wasp description?]",,,TX,No
105,Andricus robustus,Andricus robustus,Andricus robustus,Cynipid galls of the eastern United States,"On Quercus stellata: Midrib cluster on under side of leaf in fall, each pointed at apex, dropping when mature.",Quercus stellata,204,https://archive.org/details/cynipidgallseas00weld/page/77/mode/1up?q=vacciniiformis,,,,,No
106,Andricus flavohirtus,Andricus flavohirtus,Andricus flavohirtus,A New Andricus from New Jersey,"On the terminal twigs of swamp white oak (Quercus platanoides [bicolor]) early in June. Monothalamous, globular, and thin-shelled, containing no separated larval chamber. Green when fresh, brown or gray when old. It is embedded in a cluster of short, lanceolate, aborted leaflets, more or less concealing the gall. When mature it drops to the ground, leaving the bunch of leaflets on the twig. Diameter 3 mm. ",Quercus bicolor,,https://www.biodiversitylibrary.org/item/36243#page/172/mode/1up,,,June,NJ,Yes
107,Dryocosmus deciduus,Dryocosmus deciduus,Andricus decidua,Description of a New Gallfly (Andricus decidua),"On the midrib of the leaves of red oak (Quercus rubra) and black oak (Q velutina). Rounded or elongated swellings filled with oblong kernels from a few to about 40, all depending on the size of the gall. When young these bodies are concealed in the hard, fleshy part of the gall and as the swelling grows older the seed-like kernels gradually protrude therefrom and when fully grown late in September and early in October the swelling bursts open completely and the kernels are whitish, yellowish, sometimes tinged after they become exposed.","Quercus rubra,Quercus velutina",,https://www.biodiversitylibrary.org/item/36243#page/179/mode/1up,"[Synonym of Cynips quercus decidua and Cynips decidua]
This singular species was hitherto known by the gall only. ",,"September, October","New England, Middle States, North Carolina, Westward",Yes
108,Dryocosmus deciduus,Dryocosmus deciduus,Andricus decidua,Key to American Insect Galls,"Rounded or elongate midrib swellings filled with oblong or elongate kernels, a few to 40, when young concealed in the tissues and bursting open in October on Q rubra, Q velutina.","Quercus rubra,Quercus velutina",,https://www.biodiversitylibrary.org/page/8635512#page/85/mode/1up,,,,,No
109,Dryocosmus deciduus,Dryocosmus deciduus,Cynips decidua,Key to American Insect Galls,"Clusters of seedlike bodies, often 30 to 40 together, occur on the under side of the midvein of red oak leaves, the larger cells smooth, greenish white with an enlarged apex and about the size of grains of wheat, on Q bicolor, Q ilicifolia, Q rubra, and Q coccinea.","Quercus bicolor,Quercus rubra,Quercus ilicifolia,Quercus coccinea",,https://www.biodiversitylibrary.org/page/8635512#page/114/mode/1up,"[This book includes reference to Beutenmuller's D deciduus, which synonymized C decidua in its original description, so it isn't clear why Felt included this as a separate entry. The association with Q bicolor is certainly wrong.]",,,,No
110,Dryocosmus deciduus,Dryocosmus deciduus,Cynips quercus decidua,Descriptions of several new species of Cynips and a new species of Diastrophus,"Clusters of seed-like bodies, often thirty or forty together growing on the midvein on the under side of the leaves of Q rubra. The larger cells are about the size of a grain of wheat. They are smooth, greenish-white, the apex enlarged, and would remind a botanist of the sessile stigmas of some flowers.",Quercus rubra,,https://www.biodiversitylibrary.org/item/23810#page/709/mode/1up,,"My specimens were collected about the first of October, and were then fully grown. Some had fallen to the ground, but on cutting open a large number I could not detect any larvae. The leaf stems and twigs were placed in water to keep them green, but the galls soon dried and many fell off. A few fell into the water, and these not only kept green, but on opening them a few days since, half-grown larvae were found. From this I infer that the growth of this species is dependent upon the galls being covered in the earth.",October,,Yes
111,Dryocosmus deciduus,Dryocosmus deciduus,Dryocosmus deciduus,Cynipid Galls of the Chicago Area,"Black oak wheat. Individual galls about size and shape of a kernel of wheat with a fleshy knob at upper end, greenish, smooth, bare. When young concealed in the swelling midrib but later bursting out of a crack in a compact cluster of from a few to 40 galls often rupturing the leaf blade so as to be visible from above, dropping in Oct. On Q rubra and velutina. Galls collected Oct 1916 gave adults Mar 23-Apr 22 1918.  ","Quercus rubra,Quercus velutina",,https://www.biodiversitylibrary.org/page/57505983#page/202/mode/1up,,,October,,No
112,Dryocosmus deciduus,Dryocosmus deciduus,Dryocosmus deciduus,Cynipid galls of the eastern United States,"On Quercus coccinea, falcata, ilicifolia, imbricaria, marilandica, rubra, velutina: Black Oak Wheat. Cluster of up to 40 bursting out of midrib in early Oct, dropping when mature.
","Quercus rubra,Quercus velutina,Quercus coccinea,Quercus falcata,Quercus imbricaria,Quercus ilicifolia,Quercus marilandica",,https://www.biodiversitylibrary.org/page/59016449#page/91/mode/1up,,,October,,No
113,Amphibolips confluenta,Amphibolips confluenta,Cynips confluentus,"""A Report on the Insects of Massachusetts, Injurious to Vegetation""","The largest galls in this country [Massachusetts] are commonly called oak-apples. They grow on the leaves of the red oak, are round and smooth, and measure from an inch and a half to two inches in diameter. This kind of gall is green and somewhat pulpy at first, but, when ripe, it consists of a thin and brittle shell, of a dirty drab color, enclosing a quantity of brown spongy matter, in the middle of which is a woody kernel about as big as a pea. A single grub lives in the kernel, becomes a chrysalis in the autumn, when the oak-apple falls from the tree, changes to a fly in the spring, and makes its escape out of a small round hole which it gnaws through the kernel and shell. This is probably the usual course, but I have known this gall-fly to come out in October. ",Quercus rubra,,https://www.biodiversitylibrary.org/item/27609#page/407/mode/1up,,,,,Yes
114,Amphibolips confluenta,Amphibolips confluenta,Amphibolips confluens,Key to American Insect Galls,"Globular, smooth, shining or opaque leaf gall, internally a juicy, white, spongy substance and a large central larval cell, green, turning with age to light brown, diameter 2.5 to 5 cm, usually on a vein or petiole, on Q rubra, Q coccinea, and Q velutina in May and June.","Quercus rubra,Quercus velutina,Quercus coccinea",,https://www.biodiversitylibrary.org/page/8635512#page/99/mode/1up,,,"May, June",,No
115,Amphibolips confluenta,Amphibolips confluenta,Amphibolips confluens,The species of Amphibolips and their gall,,,"P10F1, P11F1, P11F2",http://digitallibrary.amnh.org/bitstream/handle/2246/656//v2/dspace/ingest/pdfSource/bul/B026a06.pdf?sequence=1&isAllowed=y,"[Synonymized with:
Cynips confluens (Harris)
Cynips aciculata
Cynips quercus aciculata
Amphibolips aciculata
Andricus confluens
Amphibolips confluens
Amphibolips confluentus
Amphibolips confluentis]

From a certain number of the galls emerge, by the middle of June, both male and female gall flies. These have been named by Osten Sacken, Cynips (Amphibolips) spongifica. The gall-flies which emerge in October or the following spring are all agamous females, and have been named Cynips confluens by Harris. I have examined the type of confluens in the Boston Society of Natural History, and find it to be identical with Amphibolips aciculata Osten Sacken. Amphibolips coccinea occurs on the scarlet oak, and is the same as spongifica, which is found on the red oak (Quercus rubra) and quercitron oak (Quercus velutina). According to Walsh, A confluens (=aciculata) is the dimorphic female of A spongifica. He informs us that by the fore part or middle of June both male and female gall-flies of A spongifica eat their way out of a certain percentage of galls while the larvae of others lie dormant for more than two months, when they change into pupae state, and subsequently about October eat their way out in the form of gall-flies known as Amphibolips confluens. Out of thousands of these autumnal flies examined by Walsh, all were females with not a single male among them. He has experimentally ascertained, by colonizing a number of these females upon isolated black oaks (Q velutina) known to be not previously infested with oak-apples, that they cause galls to be generated in the following spring upon such isolated black oaks. From galls produced in this manner, Walsh succeeded in breeding two specimens of the spring form of gall-flies (A spongifica), which exists in both sexes, and five specimens of the autumnal form (A confluens), which exists exclusively in the female sex. Finally, he treated these five autumnal specimens in the same manner, i.e., placing them upon another isolated black oak, and obtained galls in the following spring which produced two specimens of the spring form (spongifica), proving that the autumnal form sooner or later reverts to the spring form.",,"May, June",,No
116,Amphibolips quercusspongifica,Amphibolips quercusspongifica,Amphibolips confluens spongifica,The species of Amphibolips and their gall,"On the leaves usually from a vein or the petiole on red oak (Quercus rubra), scarlet oak (Quercus coccinea), quercitron or yellow oak (Quercus velutina) in May and June. Globular or nearly so, smooth, shining or opaque with a thin outer shell. Internally filled with a juicy white spongy substance and with a large, hard, central larval cell. When fresh the gall is green, and light brown when old and dry, with the internal spongy substance dark brown. Diameter, 25 to 50 mm.
This well-known gall is very common and hundreds may often be found upon a single tree. It makes its appearance early in may, as soon as the leaves put forth, on different kinds of oaks belonging to the red oak group, and is fully grown in a few weeks. It is popularly known as ""oak-apple"" or May-apple, owing to its superficial resemblance to a small apple. ","Quercus rubra,Quercus velutina,Quercus coccinea",,http://digitallibrary.amnh.org/bitstream/handle/2246/656//v2/dspace/ingest/pdfSource/bul/B026a06.pdf?sequence=1&isAllowed=y,"[Synonymized with:
Cynips confluens (Osten Sacken)
Cynips quercus coccinea
Amphibolips cocciniae
Amphibolips coccinea
Cynips quercus spongifica
Cynips spongifica
Amphibolips spongifica]
From a certain number of the galls emerge, by the middle of June, both male and female gall flies. These have been named by Osten Sacken, Cynips (Amphibolips) spongifica. The gall-flies which emerge in October or the following spring are all agamous females, and have been named Cynips confluens by Harris. I have examined the type of confluens in the Boston Society of Natural History, and find it to be identical with Amphibolips aciculata Osten Sacken. Amphibolips coccinea occurs on the scarlet oak, and is the same as spongifica, which is found on the red oak (Quercus rubra) and quercitron oak (Quercus velutina). According to Walsh, A confluens (=aciculata) is the dimorphic female of A spongifica. He informs us that by the fore part or middle of June both male and female gall-flies of A spongifica eat their way out of a certain percentage of galls while the larvae of others lie dormant for more than two months, when they change into pupae state, and subsequently about October eat their way out in the form of gall-flies known as Amphibolips confluens. Out of thousands of these autumnal flies examined by Walsh, all were females with not a single male among them. He has experimentally ascertained, by colonizing a number of these females upon isolated black oaks (Q velutina) known to be not previously infested with oak-apples, that they cause galls to be generated in the following spring upon such isolated black oaks. From galls produced in this manner, Walsh succeeded in breeding two specimens of the spring form of gall-flies (A spongifica), which exists in both sexes, and five specimens of the autumnal form (A confluens), which exists exclusively in the female sex. Finally, he treated these five autumnal specimens in the same manner, i.e., placing them upon another isolated black oak, and obtained galls in the following spring which produced two specimens of the spring form (spongifica), proving that the autumnal form sooner or later reverts to the spring form.",,"May, June","Canada, New England, Middle States, GA, CO",No
117,Amphibolips quercusspongifica,Amphibolips quercusspongifica,Amphibolips caroliniensis,The species of Amphibolips and their gall,"Attached to the midrib near the base of a leaf and prevents its development beyond the point of attachment. It occurs on a species of oak probably, Quercus minor [Quercus stellata--this is incorrect]. Resembles the galls of Amphibolips spongifica and Amphibolips cinerea, but the surface is more coarsely reticulated and less glossy. Internally the spongy mass surrounding the larval cell is of a much darker color. The outer shell is thinner and in dried specimens is irregularly shrunken and depressed. The gall very much resembles that of Amphibolips longicornis.",Quercus stellata,P11F3,http://digitallibrary.amnh.org/bitstream/handle/2246/656//v2/dspace/ingest/pdfSource/bul/B026a06.pdf?sequence=1&isAllowed=y,,,,NC,No
118,Amphibolips quercusspongifica,Amphibolips quercusspongifica,Amphibolips longicornis,The species of Amphibolips and their gall,"Allied to A spongifica, and probably found in similar situations on the leaves and young twigs of oak. Monothalamous and very thin shelled. Internally it is of a soft, light and spongy consistency not unlike that of A spongifica. Length 35 mm, Width 30 mm. The species of oak upon which the galls of this species occur is not known. ",,,http://digitallibrary.amnh.org/bitstream/handle/2246/656//v2/dspace/ingest/pdfSource/bul/B026a06.pdf?sequence=1&isAllowed=y,,,,TX,No
119,Amphibolips quercusspongifica,Amphibolips quercusspongifica,Amphibolips longicornis,Key to American Insect Galls,"Globose, monothalamous, very thin-shelled leaf and twig gall, internally soft, light, spongy, not unlike A confluens form spongifica, diameters 3.5 and 3 cm.",,,https://www.biodiversitylibrary.org/page/4885295#page/368/mode/1up,,,,,No
120,Amphibolips quercusspongifica,Amphibolips quercusspongifica,Amphibolips longicornis,New Species of North American Cynipidae (1900),"A large ""oak-apple"" with a very thin shell and a single larval cell in the middle of a soft, light and spongy mass, not unlike that of A spongifica OS. It is an inch and a half long and an inch and a quarter thick. Species of oak unknown.",,,https://www.biodiversitylibrary.org/item/32380#page/345/mode/1up,,,,TX,Yes
121,Amphibolips quercusspongifica,Amphibolips quercusspongifica,Amphibolips caroliniensis,New Species of North American Cynipidae (1890),"The galls belong to the oak-apple family, and much resemble those of A spongifica OS and A coccinae OS, but the surface is more coarsely reticulated and less glossy, and internally the spongy mass surrounding the larval cell is of a much darker color. The shell is also much thinner, and, in my dried specimens, is irregularly shrunken and depressed, until they look like pressed figs. I am not sure as to the species of oak on which they grew, but the few immature leaves that came with the galls seem to be those of Q obtusiloba [Quercus stellata--a mistaken guess]. The galls are attached to the midvein near the base of the leaf and prevent its development beyond the point of attachment; they are as large as those of A spongifica, and differ widely from A cinerea described by Mr. Ashmead.",Quercus stellata,,https://www.biodiversitylibrary.org/item/32322#page/93/mode/1up,,,,NC,Yes
122,Amphibolips quercusspongifica,Amphibolips quercusspongifica,Amphibolips caroliniensis,Key to American Insect Galls,"Globular leaf gall resembling that of A confluens, form spongifica, and A cinerea, but the surface is more coarsely reticulated and less glossy and the larval cell much darker in color, diameter 2.5 cm on midrib near base of leaf on Q ?minor [Quercus stellata; incorrect]",Quercus stellata,,https://www.biodiversitylibrary.org/page/8635494#page/100/mode/1up,,,,,No
123,Amphibolips quercusspongifica,Amphibolips quercusspongifica,Cynips confluens,On the Cynipidae of the North American Oaks and their Galls,"Quercus rubra. Red Oak. Large, smooth, globular gall on the leaves, filled, when ripe, with a brown, spongy mass. Diameter about 1.5.These galls are more than one inch, sometimes almost two inches in diameter. ""They are green and somewhat pulpy at first, says Dr. Harris, but when ripe, they consist of a thin and brittle shell, of a dirty drab color, enclosing a quantity of brown, spongy matter in the middle of which is a woody kernel about as big as a pea. A single grub live sin the kernel, becomes a chrysalis in the autumn, when the oak-apple falls from the tree, changes to a fly in the spring and makes its escape out of a small round hole which it gnaws through the kernel and shell. This is probably the usual course, but I have known the fly to come out in October.""I am more inclined to agree with Dr Fitch who supposes that there are annually two generations of this fly. They are not rare around Washington, but I have never found them so abundantly as they seem to occur in other localities. On the first of June I found balls of this kind already ripened, measuring one inch and a half in diameter, of the usual drab color and somewhat greenish only at its base. One of them, which I opened contained a larva. On the 13th of June another gall was opened, it contained the perfect insect, but with wings yet wet and folded and evidently not quite ready to escape. ",Quercus rubra,,https://www.biodiversitylibrary.org/item/22852#page/76/mode/1up,"[According to Bassett, Osten Sacken was mistaken to think this was the same as Harris' Cynips confluens, and the description he gives here is in fact the original description of Bassett's Amphibolips confluens form spongifica]",,,,No
124,Amphibolips confluenta,Amphibolips confluenta,Cynips aciculata,On the Cynipidae of the North American Oaks and their Galls,,,,https://www.biodiversitylibrary.org/item/22852#page/76/mode/1up,"I received from Mr Benj D Walsh in Rock Island IL two specimens of a gall-fly, which he reared abundantly from a gall answering exactly Dr. Harris's description of the gall C confluens. He took these specimens for the true C confluens, in which I cannot agree with him. . . . It seems to be therefore a different kind of gall, very like the preceeding [C confluens], but producing a very different insect.",,,,Yes
125,Amphibolips quercusspongifica,Amphibolips quercusspongifica,Cynips quercus coccineae,"""Additions and corrections to the paper entitled """"On the Cynipidae of the North American Oaks and their Galls""""""","The external appearance of this gall is very like that of the gall of C. q. inanis. It is more or less globular (although irregular specimens of both frequently occur), that is, not narrowed towards the basis; its surface is glossy. Internally, it is easily distinguished by the spongy mass which fills it. It seems to reach a larger size than the former gall, as among six specimens now before me, one measures an inch and a half in diameter and two others are but little smaller, whereas among eight specimens of the gall of C q inanis the largest does not much exceed an inch. From the following gall [Cynips quercus spongifica] it is distinguished by its glossy surface, its less dense and more whitish spongy internal matter, its much thinner and brittle shell and by its shape, which is more rounded on the top. ",Quercus coccinea,,https://www.biodiversitylibrary.org/item/22852#page/285/mode/1up,"[Osten Sacken here retracts his assertion that his ""Cynips confluens"" was synonymous with Harris's C confluens, and synonymizes his Cynips confluens with his new C q coccineae]
From this gall I have obtained this year (about the 25th of June) only one female specimen, not showing any perceptible difference from C q. inanis, except that the thorax is somewhat reddish, which is probably due to the immaturity of the specimen.",,,,Yes
126,Amphibolips quercusspongifica,Amphibolips quercusspongifica,Cynips quercus spongifica,"""Additions and corrections to the paper entitled """"On the Cynipidae of the North American Oaks and their Galls""""""","Quercus tinctoria [velutina]. Black Oak. Large, round gall, somewhat attenuated and pointed at the top; surface more or less opaque, as if powdered or dusted; shell thick, inside, a dense, spongy, brownish substance, surrounding the kernel. Diameter about an inch and a half. 
On the 25th of May last I found four full-grown specimens of this gall on the leaves of a large black oak and have obtained, on June 15, three female specimens of the gall-fly. They look exactly like C. q. inanis, only they are a little larger (the gall also being larger). . . Of these galls three, taken from a high branch of the tree, can be considered as typical specimens. They are slightly oblong, that is, somewhat extended into a point at the end, although not narrowed at the basis. Their diameter is about an inch and a half. Their color is drab, sometimes spotted with brown on one side; the surface is more or less opaque, as if powdered or sericeous, and shows very little gloss. The shell is much thicker than that of the two previous species [Cynips quercus coccineae and Cynips quercus inanis]; the spongy mass is more dense and brownish.
A fourth specimen, found on the same tree, is more irregular in its shape; its surface is without any gloss and altogether drab, without brown spots. Specimens of this kind are frequently found on young shrubs of Q tinctoria [velutina], the leaves of which are very rusty-puberelent beneath.",Quercus velutina,,https://www.biodiversitylibrary.org/item/22852#page/286/mode/1up,"This is the opaque variety mentioned [in the original Osten Sacken 1861 paper ""On the Cynipidae of the North American Oaks and their Galls""] under the head of Cynips confluens. ",,,,Yes
127,Amphibolips confluenta,Amphibolips confluenta,Cynips aciculata,"""Additions and corrections to the paper entitled """"On the Cynipidae of the North American Oaks and their Galls""""""","Quercus tinctoria [velutina]. Black Oak. Large, round gall, broad and rounded at the top; surface smooth and glossy; shell thick, inside, a dense, brown, spongy substance, surrounding the kernel. Diameter upwards to an inch and a half. 
The specimens . . . can be distinguished at once from the gall of C q spongifica, by their smooth, glossy surface and their subglobular or short-oval form, their basis being slightly attenuated, their top, on the contrary, being broad and rounded. Otherwise, their thick shell and their dense, brownish spongy substance reminds of C q spongifica. ",Quercus velutina,,https://www.biodiversitylibrary.org/item/22852#page/287/mode/1up,"(Syn C confluens Harris?)
The synonymy of this species with C confluens Harris, supposed by Mr Walsh, is founded on the occurrence of their galls at the same season, and on the statement of Mr. Norton about the agreement of C q aciculata with the original specimens of C confluens in Dr Harris' collection. But if Dr Harris' gall-fly really lives on the red oak, its great resemblance to C q aciculata, occurring on the black oak, would be no more a proof of their identity, than the great resemblance of C q inanis and spongifica is of theirs. The two latter gall-flies, although almost perfectly similar in appearance, occur on different oaks and produce quite different galls. It may be that the true C confluens Harris, although closely resembling C q aciculata, produces on the red oak a gall, sufficiently different from that of the other species, to be distinguished by constant characters. The synonymy of both therefore, although probably, seems to require further confirmation.",,July,IL,No
128,Amphibolips quercusinanis,Amphibolips quercusinanis,Cynips quercus inanis,On the Cynipidae of the North American Oaks and their Galls,"Quercus rubra. Red oak. Large, smooth, globular brownish-yellow gall, attached to the underside of the leaves, inside with whitish, delicate filaments radiating from the kernel to the shell. Diam about an inch.
Very like gall No. 1 [Cynips confluens] at first glance, but smaller, the specimens in my possession measuring an inch or a little more in diameter. It is also fastened to the leaf by a small point on its surface. The outside of this gall shows no other difference from the oak-apple of the red oak but the size. The inside on the contrary distinguishes them at once; instead of the spongy, brown mass with which the other gall is filled, this one is almost empty, the kernel being kept in its central position by a certain number of whitish filaments which radiate from it to the shell. ",Quercus rubra,,https://www.biodiversitylibrary.org/item/22852#page/78/mode/1up,"My attention has been called by Mr Walso to the fact that this gall has been erroneously taken by Dr Fitch for confluens Harris. Judging from some expressions in Dr Fitch's description, it may really be so. In this case, the insect described by Dr Fitch as C confluens would be a new species, very like the former; for which I propose the name of Cynips quercus inanis (Syn C confluens Fitch, non Harris). In the same case, I would be much inclined to think that my C quercus coelebs is the male, not of C confluens, but of C q inanis.",,,DC,Yes
